Date,Open,High,Low,Close,Volume
2016-06-06 17:56,7.355000,7.355,7.355,7.355000,1280256
2016-06-06 17:57,7.355000,7.36,7.355,7.360000,1281830
2016-06-06 17:58,7.355000,7.365,7.355,7.365000,1281830
2016-06-06 17:59,7.365000,7.37,7.365,7.370000,1284259
2016-06-06 18:00,7.370000,7.37,7.365,7.370000,1285359
2016-06-06 18:01,7.370000,7.37,7.37,7.370000,1285859
2016-06-06 18:02,7.370000,7.37,7.37,7.370000,1288503
2016-06-06 18:03,7.370000,7.38,7.37,7.380000,1288503
2016-06-06 18:04,7.380000,7.38,7.3743,7.380000,1291918
2016-06-06 18:05,7.374300,7.38,7.3743,7.380000,1293352
2016-06-06 18:06,7.380000,7.39,7.375,7.380000,1293752
2016-06-06 18:07,7.380000,7.389,7.38,7.389000,1298052
2016-06-06 18:08,7.389000,7.389,7.385,7.385000,1301376
2016-06-06 18:09,7.385000,7.389,7.385,7.389000,1301676
2016-06-06 18:10,7.389000,7.389,7.389,7.389000,1302817
2016-06-06 18:11,7.389000,7.389,7.385,7.385000,1302817
2016-06-06 18:12,7.385000,7.385,7.3806,7.380600,1303617
2016-06-06 18:13,7.380600,7.385,7.3806,7.385000,1303917
2016-06-06 18:14,7.385000,7.385,7.385,7.385000,1304220
2016-06-06 18:15,7.385000,7.385,7.385,7.385000,1304420
2016-06-06 18:16,7.385000,7.385,7.385,7.385000,1304420
2016-06-06 18:17,7.385000,7.385,7.385,7.385000,1304720
2016-06-06 18:18,7.385000,7.39,7.385,7.389000,1306320
2016-06-06 18:19,7.385000,7.389,7.385,7.385000,1307022
2016-06-06 18:20,7.385000,7.39,7.3801,7.390000,1308625
2016-06-06 18:21,7.390000,7.39,7.39,7.390000,1318299
2016-06-06 18:22,7.390000,7.4,7.39,7.390000,1318514
2016-06-06 18:23,7.400000,7.4,7.39,7.400000,1355459
2016-06-06 18:24,7.400000,7.4,7.396,7.396000,1356884
2016-06-06 18:25,7.396000,7.4,7.396,7.400000,1357667
2016-06-06 18:26,7.400000,7.4,7.4,7.400000,1358067
2016-06-06 18:27,7.400000,7.4,7.4,7.400000,1358212
2016-06-06 18:28,7.400000,7.4,7.3995,7.400000,1358412
2016-06-06 18:29,7.400000,7.4,7.3995,7.400000,1358912
2016-06-06 18:30,7.400000,7.4,7.4,7.400000,1358912
2016-06-06 18:31,7.400000,7.4,7.3901,7.400000,1363030
2016-06-06 18:32,7.400000,7.4,7.4,7.400000,1364545
2016-06-06 18:33,7.400000,7.4,7.4,7.400000,1364545
